Description,Title,Department,Manager
400222,Head of Refractory,SMP1 Refractory,400962
400227,Crane Operator II (Finished),Rolling Mills - Material Handling,401550
400229,Sr. Shift Optr RM 1 WTP CAP SWS,Utility Operation 1,400614
400231,Overhead Crane Operator,Rolling Mill (1),400219
400232,Overhead Crane Operator,Rolling Mill (1),400248
400233,Overhead Crane Operator,Rolling Mill (1),400136
400238,Condition Monitoring Technician,Condition Monitoring,400380
400239,Material Handling Supervisor,EISC-Rolling Mills,401201
400240,Public Relation Manager,Public Relations,403060
400242,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400827
400243,RM 1 Shift Senior Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400246,Cold Shear Operator,Rolling Mill (1),400320
400248,Shift Supervisor,Rolling Mill (1),402577
400249,Shift Controller (Finished),Rolling Mills - Material Handling,400559
400251,Senior Roll & Stand Fitter,Rolling Mills - Roll Shop,600380
400253,Shift Controller (Semi Finished),Rolling Mills - Material Handling,400559
400254,Stand & Guide Stand Fitter,HSM Roll Shop,402070
400255,Welder Fabricator,Rolling Mills - Roll Shop,402564
400258,Roll & Stand Fitter,Rolling Mills - Roll Shop,402564
400260,Sr. Operator,Rolling Mills - Roll Shop,409998
400262,"DS RM1,2,3 & 5 Mechanincal Supervisor","RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400263,Gen. Driver,Housing & GS,400334
400265,RM 1 Shift E&A Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400267,Senior Vice President - Marketing,Marketing,400283
400268,Feedstock Supervisor,HSM Operation - Finishing Process,402713
400272,Maint. Planner,Maint. Planning,401990
400273,Gardener,Housing & GS,400334
400275,Finishing Assistant,Rolling Mill (1),400219
400276,Roller Operator,Rolling Mill (1),400219
400277,Mill Assistant,Rolling Mill (1),400320
400278,Crane Operator II (Finished),Rolling Mills - Material Handling,400433
400281,Crane Operator II (Finished),Rolling Mills - Material Handling,400604
400282,Crane Operator II (Finished),Rolling Mills - Material Handling,400189
400283,Chief Executive Officer,CEO Office,0
400288,MH Shift Controller,"SMP Conveyor, Scrap & Slagplant",401421
400291,Sr. Operator,Rolling Mills - Roll Shop,409998
400292,Main Pulpit Operator,Rolling Mill (1),400219
400293,Shift Controller (Finished),Rolling Mills - Material Handling,400559
400297,Mechanical Test House Technician,"Inspection and Testing RM1,2 & 3",402484
400300,Shift Controller (Semi Finished),Rolling Mills - Material Handling,400559
400301,Senior Payroll Accountant,Finance & Costing,400370
400305,Casting/Crane Operator,SMP2 CCM,401450
400306,Main Pulpit Operator,Rolling Mill (1),400136
400307,Senior Roller,Rolling Mill (1),400219
400309,Crane Operator,SMP2 CCM,401450
400312,VP Standards & Audit,Standards & Audit,400283
400315,Sr. Analyst - Credit Operation,Credit and Collection,400337
400316,Weighbridge Operator,Weighbridge,400345
400318,Gen. Driver,Housing & GS,400334
400320,Senior Roller,Rolling Mill (1),402577
400322,Raw Materials Shift Operator,Logistics (Warehouse),401460
400325,VP Marketing,Marketing,400283
400327,Mechanical Test House Technician,"Inspection and Testing RM1,2 & 3",402484
400328,System Analyst -BO/BW/CRM,SAP Competency Group,401445
400334,General Services Manager,General Services,403060
400336,Banking Coordinator,Finance & Costing,400487
400337,Credit and Collections Manager,Credit and Collection,400487
400339,RM Instrumentation Senior Tech-RM,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400343,Executive Coordinator,Standards & Audit,400312
400345,Sr. Officer Weighbridge,Weighbridge,402413
400347,Spare Parts Controller,Rolling Mills - Roll Shop,402564
400348,"Sales Coordinator - HSM, Projects",Sales,400498
400352,Public Relation Officer - Customer Serv.,Public Relations,400135
400353,Rolling Mill Coordinator,"Rolling Mills 1,2 ,3 & 5",400442
400357,Transactional Buyer - Indirects,Services & Industrial Services,401640
400361,Events Officer,Events & Goverment Relations,402768
400363,Accounts Clerk,Finance & Costing,400370
400365,Crane Operator I,SMP1 EAF/LF,401015
400366, Assistant Manager - SMP2,SMP2 Maintenance,402322
400369,Senior Technical Services Engineer,Technical Services,402924
400370,Finance & Costing Manager,Finance & Costing,400487
400375,Documentation Officer,Sales - Rebars and Wire Rod,0
400376,Human Capital Manager,Human Capital,403060
400377,Mechanical Test House Technician Ph2,Inspection and Testing RM 4&5,400149
400378,Sr. Account Manager - Heavy Sections,Sales - Heavy Sections,401970
400380,Head of Condition Monitoring,Condition Monitoring,400957
400382,Senior Roller,Rolling Mill (1),401566
400383,Finance & Costing Specialist,Finance & Costing,400370
400384,RM 1 Shift Senior Elect. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400385,Mill Assistant,Rolling Mills (2),402069
400386,Documentation Officer,Sales - Rebars and Wire Rod,0
400387,Helper,DRP & Jetty,400551
400389,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400300
400390,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400253
400391,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400721
400393,Crane Operator II (Finished),Rolling Mills - Material Handling,400433
400394,Finishing Assistant,Rolling Mill (1),400219
400397,Cold Shear Operator,EISC-Rolling Mills,400136
400398,Crane Operator,SMP1 CCM (Continues Casting Machine),401051
400404,MH Shift Controller,"SMP Conveyor, Scrap & Slagplant",401421
400406,Hopper Operator,DRP & Jetty,401628
400407,Gag Press/Cold Saw Operator,HSM Operation - Finishing Process,402074
400408,Vacuum Cleaner,SMP1 EAF/LF,401257
400409,Stand & Guide Stand Fitter,HSM Roll Shop,402070
400410,Finishing Assistant,Rolling Mills (3),400554
400411,Sr. Operator,Rolling Mills - Roll Shop,409998
400412,Area Sales Mgr - Rebars & Wire Rod GCC,Sales - Rebars and Wire Rod,400498
400413,HC Services Officer,Employee Relation& Customer Serv,402938
400416,Maintenance Technician Ph1,Utility Maint.1 & 2,402707
400417,HC Relations Officer,Employee Relation& Customer Serv,402938
400418,Stand & Guide Stand Fitter,HSM Roll Shop,402070
400419,VP Supply Chain Management,Supply Chain Management,400283
400420,Shift Brick Layer,SMP1 Refractory,400941
400421,Senior Maint. Technician Ph 2,Utility Maint.1 & 2,402411
400422,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400253
400424,Senior Roll & Stand Fitter,Rolling Mills - Roll Shop,402564
400427,Furnace Operator,Rolling Mill (1),400136
400428,Crane Operator II (Finished),Rolling Mills - Material Handling,600382
400429,Loss Prev. & Safety Coordinator,Health & Safety,402755
400431,Gen. Driver,Housing & GS,400135
400432,Manager - Government Relations (Acting),Government Relations,403060
400433,Shift Controller (Finished),"RM1,2,3 & 5 / RM Material Handling",400559
400435,DRP Lab Assistants - Phase 1,Chemical Laboratories,400148
400437,Section Head Maintenance Mech.,HSM Maintenance - Mechanical Maintenance,402172
400438,DRP Lab Assistants - Phase 1,Chemical Laboratories,400148
400442,"Manager -  Rolling Mill 1,2 ,3 & 5","Rolling Mills 1,2 ,3 & 5",402559
400445,Head of Rolling Mill (3),Rolling Mills (3),400961
400448,Senior Project Manager,P&S / Project,400541
400450,Utility & WTP Manager,Utility & Water Plant,402559
400451,Mechanical Maint. & Workshops Manager,Mechanical Maintenance & Workshop,402559
400452,Technical Co-ordinator,CEO Office,400283
400453,Head of CCM,SMP2 CCM,401557
400455,Elect.& Auto.Maint. Manager,Electrical & Automation Maintenance,402559
400457,Head of DRP 1,Direct Reduction Plant 1,401612
400458,Head of Budgetary Control,Controlling Group,401592
400462,RM1 Shift Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400463,Welder Fabricator,Rolling Mills - Roll Shop,400150
400464,Finishing Assistant,Rolling Mills (3),400911
400466,Finishing Assistant,Rolling Mills (3),401124
400467,"DS RM1,2,3,5 Mechanical Technician","RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400468,"DS RM1,2,3,5 Mechanical Technician","RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400469,Finishing Assistant,Rolling Mills (3),401584
400470,Senior Maint. Technician Ph1,Utility Maint.1 & 2,402707
400471,Guide Fitter,Rolling Mills - Roll Shop,402564
400472,Finishing Assistant,Rolling Mill (1),400248
400473,Roll & Stand Fitter,Rolling Mills - Roll Shop,402564
400474,Roller Operator,Rolling Mill (1),400136
400475,Roller Operator,Rolling Mill (1),400320
400476,Cold Shear Operator,Rolling Mills (2),400677
400477,Guide Fitter,Rolling Mills - Roll Shop,402564
400479,Customer Relation Officer,Market Customer,400325
400480,Crane Operator,SMP1 CCM (Continues Casting Machine),401461
400481,Gen. Driver,Housing & GS,400334
400482,Local Scrap Buyer,Materials & Spares/Cons.,402881
400485,"Asst Manager - Engineering RM 1,2, 3 &5","Rolling Mills 1,2 ,3 & 5",400442
400486,Contract Administration Manager,Procurement Counsel,400419
400487,SVP (Finance & Shared Services) / CFO,Finance & Shared Services,400283
400488,Business Planning & ERP Project,"Controlling, Business Planning & ERP",400487
400490,Main Pulpit Operator,Rolling Mill (1),400320
400493,Head of SMP 1 Elect. & Autom.,OP / E&AM / SMP 1,400455
400495,Section Head - Central Crane Mechanical,Cranes - Mechanical,400957
400496,Dispatch Officer - Rebars & Wire Rods,Shipping & Logistics,401441
400497,HC Relations Officer,Employee Relation& Customer Serv,402938
400498,VP Sales - Rebars & Wirerod,Sales - Rebars and Wire Rod,400283
400499,Day Shift RM Maint. Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400500,Head of planning & process,HSM Planning,402322
400502,Tech. Comp.& Knowledge Design Instructor,Strategy & Development,402518
400504,Talent Acquisition - Specialist,"Emiratization,Manpower Plan.& Talent Acq",0
400505,Eng. Techno.& Knowledge Develop. Analyst,Strategy & Development,402518
400506,Main Pulpit Operator,Rolling Mills (2),400667
400507,Senior Finishing Technician,Workshop,400749
400508,Head of Workshop,Workshop,400451
400509,Receptionist,Housing & GS,400334
400510,RM2 &3 Shift Maintenance Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400512,Furnace Operator,Rolling Mills (2),400213
400513,Spectro Chemist - Phase 1,Chemical Laboratories,400148
400514,Health & Safety Engineer,Health & Safety,402755
400515,Mill Assistant,"RM1,2,3 & 5 / Rolling Mill (2)",400667
400517,Hydraulic Supervisor,HSM Maintenance - Hydraulics,402502
400518,Dispatch Officer - Rebars & Wire Rods,Shipping & Logistics,401441
400519,Specialist - Public Relation Systems,Public Relations,400240
400520,Feedstock Crane Operator,HSM Operation - Finishing Process,400268
400521,"Head of RM 1, 2 & 3 Maintenance","RM1,2 &3  Maintenance",400451
400523,Camp Boss,Housing & GS,400334
400526,Senior Finishing Technician,Workshop,400749
400528,Senior Finishing Technician,Workshop,400749
400529,Head of CE Services & Workshop Ph.2,Central Electrical Services & Workshop,400455
400532,DRP 1&2 Maintenance Supervisor,DRP 1 Maint.,401283
400533,Iron Works Supervisor - Ph.2,Workshop,400508
400535,"RM 2, 3 Shift  E&A Supervisor","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400536,Section Head Maintenance  Elec. & Auto,HSM Maintenance - Electrical &Automation,402172
400540,"Day Shift RM1, 2 & 3 E&A Supervisor","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400541,CEO Advisor,CEO Office,400283
400543,Sr Public Relation Officer,CEO Office,400283
400544,Overhead Crane Operator,Rolling Mill (1),400320
400546,Machinist,Rolling Mills - Roll Shop,409998
400547,Senior Roller,Rolling Mills (3),401584
400548,Overhead Crane Operator,Rolling Mill (1),400219
400549,Planning Supervisor,"Rolling Mills 1,2 ,3 & 5",400485
400550,Senior Roll & Stand Fitter,"RM1,2,3 & 5 / Roll Shop",402564
400551,Head of DRP & Jetty,DRP & Jetty,409996
400552,RM2 & 3 Shift  Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400554,Shift Supervisor,Rolling Mills (2),402577
400555,Crane Mechanical Supervisor - Ph 2,Cranes - Mechanical,402937
400556,Crane Operator,SMP1 CCM (Continues Casting Machine),401051
400557,Bundling Operator,Rolling Mills (2),400213
400558,Roller Operator,Rolling Mills (2),400213
400559,Head of RM Raw Materials,Rolling Mills - Material Handling,400961
400561,Compactor Operator,Rolling Mills (3),401584
400563,Crane Operator II (Finished),Rolling Mills - Material Handling,400293
400565,CNC Operator,HSM Roll Shop,402070
400566,MSS DS Sr. Electrical Tech Ph.2,Main Sub Station,400807
400567,Senior Iron Works Technician,Workshop,400533
400568,Main Pulpit Operator,Rolling Mills (3),401124
400570,Main Pulpit Operator,Rolling Mills (2),400213
400571,Compactor Operator,Rolling Mills (3),400911
400572,Senior Roller,Rolling Mills (3),400911
400573,Furnace Operator,Rolling Mills (2),400667
400575,Main Pulpit Operator,Rolling Mills (2),400554
400576,Sr.Shift Operator RO1 Plant FW NG,Utility Operation 1,400614
400577,Roller Operator,Rolling Mill (1),400320
400578,Day Shift Senior Elect Technician-RM Pre,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400580,Senior Roller,Rolling Mills (3),400586
400581,Furnace Operator,Rolling Mills (3),401124
400582,Cold Shear Operator,"RM1,2,3 & 5 / Rolling Mill (2)",400554
400583,Notching Operator,Rolling Mills - Roll Shop,409998
400584,RM2 & 3 Shift  Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400585,Block Fitter,Rolling Mills - Roll Shop,400150
400586,Shift Supervisor,Rolling Mills (3),400445
400587,Furnace Operator,Rolling Mill (1),400248
400588,Furnace Operator,Rolling Mills (3),401584
400589,Shift Roll & Stand Fitter,"RM1,2,3 & 5 / Roll Shop",400150
400590,Roller Operator,Rolling Mills (2),400554
400591,Roll Shop Planner,Rolling Mills - Roll Shop,400150
400592,Crane Operator,SMP1 CCM (Continues Casting Machine),401063
400593,Finishing Supervisor,Workshop,400508
400594,"Senior Roll, Stand & Guide Fitter",Rolling Mills - Roll Shop,400150
400595,Main Pulpit Operator,Rolling Mills (3),400586
400596,Forming Operator,Rolling Mills (3),400911
400597,Roll & Stand Fitter,Rolling Mills - Roll Shop,400150
400598,Compactor Operator,Rolling Mills (3),400586
400599,Crane Operator,SMP2 CCM,401450
400601,Roller Operator,Rolling Mills (2),400554
400602,Main Pulpit Operator,Rolling Mills (3),401584
400603,Roll & Stand Fitter,Rolling Mills - Roll Shop,400150
400604,Shift Controller (Finished),"RM1,2,3 & 5 / RM Material Handling",400559
400606,Roller Operator,Rolling Mills (3),401584
400607,Shift Guide Fitter,"RM1,2,3 & 5 / Roll Shop",400150
400610,Furnace Operator,Rolling Mills (2),400554
400611,Guide Fitter,Rolling Mills - Roll Shop,400150
400612,Branding Operator,Rolling Mills - Roll Shop,409998
400613,Day Shift RM Maint. Supervisor,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400614,Day Shift Supervisor Group-2 Oper,Utility Operation 1,400826
400616,Bundling Operator,Rolling Mills (2),400677
400617,Crane Operator II (Finished),Rolling Mills - Material Handling,400923
400618,Forming Operator,Rolling Mills (3),401124
400620,Machinist,Rolling Mills - Roll Shop,409998
400622,Maintenance Technician Ph1,Utility Maint.1 & 2,402411
400623,Iron Works Technician,Workshop,400533
400624,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400300
400625,Finishing Technician,Workshop,400749
400626,Coordinator Load Test,Cranes - Mechanical,402937
400627,Tool Store Workshop Controller,Workshop,400508
400628,Shift DRP Maint. Technician,DRP 2 Maintenance,401218
400629,"DS RM1,2,3,5 Mechanical Technician","RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400630,Technical Assistant,Mechanical Maintenance & Workshop,400451
400631,Senior Finishing Technician,Workshop,400749
400632,"RM 2, 3 Shift Senior Elect. Technician","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400633,Planner,SMP2 Planning,402428
400635,Day Shift Supervisor Group-2 Oper,Utility Operation 2,400450
400636,Bundling Operator,"RM1,2,3 & 5 / Rolling Mill (2)",400554
400637,Roller Operator,Rolling Mills (2),400667
400638,Forming Operator,Rolling Mills (3),401584
400639,Cold Shear Operator,Rolling Mills (2),400213
400641,Crane Operator,SMP2 CCM,401450
400643,Crane Operator,SMP2 CCM,401450
400645,Senior Finishing Technician,Workshop,400749
400649,Rolling Mill Assistant,HSM Operation - Production,402146
400650,Manager -  DRP 2,Direct Reduction Plant  2,402559
400653,Welder Fabricator,Rolling Mills - Roll Shop,400150
400654,Main Pulpit Operator,Rolling Mills (3),400911
400655,Crane Operator,SMP1 CCM (Continues Casting Machine),402429
400656,Public Relation Officer,Public Relations,400135
400657,Block Fitter,Rolling Mills - Roll Shop,400150
400658,RM2 & 3 Shift  Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400659,Day Shift Supervisor Group-1 Oper,Utility Operation 2,400450
400660,Shift Controller (Finished),"RM1,2,3 & 5 / RM Material Handling",400559
400662,Shift Controller (Semi Finished),SMP1 CCM (Continues Casting Machine),402429
400663,Shift Controller (Semi Finished),SMP1 CCM (Continues Casting Machine),401015
400664,Head of Fluids & Hydraulics SMP 1 & 2,Fluids&Hyd SMP 1&2,400451
400666,Receptionist,Housing & GS,400334
400667,Senior Roller,Rolling Mills (2),402577
400668,Compactor Operator,Rolling Mills (3),401124
400669,Senior Roller,Rolling Mills (2),401566
400670,Main Pulpit Operator,Rolling Mills (2),400677
400671,Senior Shift Operator RO2 Plant FW NG,Utility Operation 2,400635
400673,Machinist,Rolling Mills - Roll Shop,409998
400674,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400660
400675,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400827
400676,Crane Operator I,SMP2 EAF / LF,401057
400677,Shift Supervisor,Rolling Mills (2),402577
400678,Stand & Guide Stand Fitter,HSM Roll Shop,402070
400680,Stand & Guide Stand Fitter,HSM Roll Shop,402070
400682,Crane Operator II (Finished),Rolling Mills - Material Handling,400923
400683,"Senior Roll, Stand & Guide Fitter",Rolling Mills - Roll Shop,400150
400684,Conveyor Operator,DRP & Jetty,401628
400685,Weighbridge Operator,Weighbridge,400345
400686,Conveyor Operator,DRP & Jetty,401628
400687,Finishing Assistant,Rolling Mill (1),400248
400688,Sampler Ph1,"Inspection and Testing RM1,2 & 3",402484
400691,Senior Maint. Technician - Ph 2,Utility Maint.1 & 2,402707
400692,Feedstock Crane Operator,HSM Operation - Finishing Process,400268
400693,Material Controller,Material Handling,409996
400694,Roll & Stand Fitter,Rolling Mills - Roll Shop,400150
400695,Notching Operator,Rolling Mills - Roll Shop,409998
400696,Gen. Driver,Housing & GS,400334
400697,Gen. Driver,Housing & GS,400334
400698,Gen. Driver,Housing & GS,400334
400699,Gen. Driver,Housing & GS,400334
400700,Weighbridge Operator,Weighbridge,400345
400701,Scrap Inspector,"SMP Conveyor, Scrap & Slagplant",401410
400702,Quality Assurance Manager,Quality Assurance,400312
400703,RSM Operator,HSM Operation - Production,400218
400705,"Senior Roll, Stand & Guide Fitter",Rolling Mills - Roll Shop,400150
400706,Mill Crane Operator,HSM Operation - Production,402121
400707,Vacuum Cleaner,SMP1 EAF/LF,401257
400708,Piler Operator,HSM Operation - Production,402121
400709,Shift Senior Electrical Technician,SMP 1 Elect. & Autom.,400493
400710,Crane Operator,SMP2 CCM,401450
400711,Finishing Assistant,Rolling Mills (3),400586
400712,Feedstock Material Controller,HSM Operation - Finishing Process,401051
400713,Shift Controller (Finished),Rolling Mills - Material Handling,400559
400714,RM2 & 3 Shift  Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400715,Senior Roller Operator,HSM Operation - Production,402713
400717,Invoice Reconciling Coordinator,Finance & Costing,400370
400718,Planning Supervisor,Logistics (Warehouse),401460
400719,Shift Senior Electrical Technician,OP / E&AM / SMP 2,402150
400720,Day Shift MSS Supervisor,Main Sub Station,400807
400721,Shift Controller (Semi Finished),Rolling Mills - Material Handling,400559
400723,Sr. Shift Operator ASP 1,Utility Operation 1,401493
400724,Shift Operator RO1 Plant FW NG,Utility Operation 1,400614
400725,CNC Operator,Rolling Mills - Roll Shop,409998
400726,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400300
400727,Supervisor - Day Shift Mech. Maint.,HSM Maintenance - Mechanical Maintenance,400437
400728,Roller Operator,Rolling Mills (2),400136
400730,Finishing Technician,Workshop,400749
400732,Crane Mechanical Technician - Ph 1,Cranes - Mechanical,400872
400733,Senior Iron Works Technician,Workshop,400533
400735,Shift Controller (Finished),Rolling Mills - Material Handling,400559
400737,Head of DRP 1 Maint.,DRP 1 Maint.,400957
400740,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
400741,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
400742,Dispatch Planners - HSM,Shipping & Logistics,401441
400743,Dispatch Planners - Rebars & Wire Rods,Shipping & Logistics,401441
400744,Roller Operator,Rolling Mills (3),400586
400745,Welder Fabricator,Rolling Mills - Roll Shop,402564
400746,Day Shift SMP Maint. Supervisor,SMP 1 and 1&2 Maintenance,402193
400747,Hydraulics Supervisor,Fluids&Hyd SMP 1&2,400664
400749,Finishing Supervisor - Ph.2,Workshop,400508
400751,Roller Operator,Rolling Mills (3),401584
400753,Shift Controller (Semi Finished),SMP2 CCM,401450
400754,Senior Finishing Technician,Workshop,400749
400755,Senior Iron Works Technician,Workshop,400533
400757,DRP Lab Assistants - Phase 1,Chemical Laboratories,400148
400758,Quality Control Inspector Ph1,"Inspection and Testing RM1,2 & 3",402484
400759,"RM 2, 3 Shift  E&A Supervisor","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400761,Senior Finishing Technician,Workshop,400749
400762,Senior Finishing Technician,Workshop,400749
400763,Shift Operator RO1 Plant FW NG,Utility Operation 1,400614
400764,Sr.Shift Operator SMP1/DRP1/WTP,Utility Operation 1,401493
400765,Sampler Ph1,"Inspection and Testing RM1,2 & 3",402484
400766,"RM 2, 3 Shift Senior Elect. Technician","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400767,Systems Specialist,Human Capital,400376
400769,DS Shift Sr SMP Maint. Technician,SMP 1 and 1&2 Maintenance,400746
400771,Senior E&AM Technician - Shift,HSM Maintenance - Electrical &Automation,400536
400772,Shift Operator RO1 Plant FW NG,Utility Operation 1,400614
400773,Shift Supervisor,DRP 1 Elect. & Autom.,401030
400774,Senior Finishing Technician,Workshop,400749
400775,MSS Shift Sr Electrical Technician,Main Sub Station,400807
400776,RM 1 Shift Senior Elect. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400777,Crane Operator,SMP1 CCM (Continues Casting Machine),401063
400778,Senior Inventory Controller,Logistics (Warehouse),401460
400779,CCM Day Shift Supervisor,SMP2 Mechanical Maint.,401626
400780,Spare Parts Controller,"Rolling Mills 1,2 ,3 & 5",600084
400781,RM2 & 3 Shift Senior Maint. Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400782,Head of Utility Maint. 1 & 2,Utility Maint.1 & 2,400450
400783,Shift Controller (Finished),Rolling Mills - Material Handling,400559
400785,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400827
400786,Crane Operator II (Semi Finished),Rolling Mills - Material Handling,400253
400787,Roller Operator,Rolling Mills (3),401124
400788,"RM 2, 3 Shift Senior Elect. Technician","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400789,Crane Operator I,SMP1 EAF/LF,401056
400790,"RM 2, 3 Shift Senior Elect. Technician","RM 1,2 & 3 / RM1, 2 & 3 Electrical",402056
400791,Electrical Engineer - HSM Crane Maint.,Cranes - Electrical,401075
400792,DRP Plant Chemist - Phase 1,Chemical Laboratories,400148
400794,RM2 & 3 Shift  Maintenance Technician,"RM 1,2 & 3 / RM1, 2 & 3 Mechanical",600084
400796,Technical Knowledge Development Trainer,Strategy & Development,402518
400798,Drives Engineer,HSM Maintenance - Electrical &Automation,400536
400800,Automation Engineer,HSM Maintenance - Electrical &Automation,400536
400801,Dispatch Planners - Rebars & Wire Rods,Shipping & Logistics,401441
400802,Crane Mechanical Technician - Ph 2,Cranes - Mechanical,400555
400803,Weighbridge Operator,Weighbridge,400345
400804,Shift DRP Maint. Supervisor,DRP 1 Maint.,401283
400805,Dispatch Planners - HSM,Shipping & Logistics,401441
400806,Sampler Ph1,"Inspection and Testing RM1,2 & 3",402484
400807,Head of Main Sub Station,Main Sub Station,400455
400808,Supervisor E&AM  Day Shift,HSM Maintenance - Electrical &Automation,400536
400810,Recruitment Officer,"Emiratization,Manpower Plan.& Talent Acq",400504
