GivenName,LastName,Username,password,Email,Address,Phone Number,Region,TargetOU
Keperra,Medical Centre,KeperraMC,.randomise,reception@keperramedical.com.au ,"14 Dallas Parade, KEPERRA",07 3355 4082,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Kilcoy,General Practice,KilcoyGP,.randomise,lisa@kilcoydoctors.com.au,"19 Brown Street, KILCOY",07 5497 1766,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Kilcoy,Medical Centre,KilcoyMC,.randomise,tdd@pacific.net.au,"Cnr William and Kennedy Streets, KILCOY",07 5497 1076,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Kings Circle,Medical Centre,KingsCircleMC,.randomise,manager@kingscirclemedicalcentre.com.au,"1/297-285 King Street, CABOOLTURE",07 5419 0786,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Lawnton Country Market,Medical Centre,LawntonCMMC,.randomise,harshani@tmedicals.com.au.,"5/718 Gympie Road, Lawnton Country Market Shopping Complex, LAWNTON",07 3205 8118,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Marine Parade ,Medical Centre,MarinePMC,.randomise,mtatkovic@hotmail.com,"97 Marine Parade, REDCLIFFE",07 3284 0723,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
McDowall ,Family Medical Centre,McDowallFMC,.randomise,norris.chern@mcdowallmedical.com.au,"Suite 20, 97 Flockton Street, EVERTON PARK",07 3353 1099,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
McPhillips ,Medical Group,McPhillipsMG,.randomise,mmg357@bigpond.net.au,"357 Gympie Road, STRATHPINE",07 3205 4455,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Medical,Matters,MedicalMatters,.randomise,Reception@medicalmatters.com.au,"Shop 14, 15, 16 Cnr Dohles Rocks Road & Goodrich Road West, MURRUMBA DOWNS",07 3164 6000,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Medical Zone ,Mango Hill,MedicalZoneMH,.randomise,mzfpdoctors@gmail.com,"Shop 5/2 Halpine Drive, MANGO HILL",07 3481 2210,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Medicrew ,Beachmere ,MedicrewBeachmere,.randomise,Kat.Luckett@mymedicrew.com.au ,"Shop 8, Beachmere Shopping Village, 2 James Road, BEACHMERE",07 5429 0385,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Medicross,Strathpine,MedicrossStrath,.randomise,strathpinepm@medicross.com.au,"13/328 Gympie Road, STRATHPINE",07 3881 3828,Pine Rivers,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Medpods ,Medical Centre,MedpodsMC,.randomise,info@medpods.com.au,"Shop 1094 Westfield North Lakes, Cnr Anzac Avenue & North Lakes Drive, NORTH LAKES",1300 250 815,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Midway,Medical Centre,MidwayMC,.randomise,admin@midwaymedical.com.au,"10/538 Oxley Avenue, REDCLIFFE",07 3203 4956,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Morayfield ,Family Doctors ,MorayfieldFamilyDoctors,.randomise,pm@hhdm.com.au ,"Leda Boulevard, Health Hub Morayfield, MORAYFIELD",07 5412 0400,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Moreton Bay ,Medical Centre,MoretonBayMC,.randomise,kathy@mbmedical.com.au,"Shop 11/284 Anzac Avenue, KIPPA RING",07 3283 5400,Redcliffe/Brighton,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
My Medical and ,Dental Centre Hamilton,MyMedicalandDentalHamilton,.randomise,"jinky.abyan@mymedicalanddental.com.au
andrew@mullein.com.au","Shop 3, 576 Kingsford Smith Drive, HAMILTON",07 3180 3999,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Myer Centre,Doctors,MyerCentreDocs,.randomise,charles@firstcaredoctors.com.au,"Shop 103B, Level E Myer Centre, 91 Queen Street, BRISBANE",07 3210 2111,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
MyHealth ,Brisbane Showgrounds,MyHealthBrisbaneShowgrounds,.randomise,brisbaneshowgrounds@myhealth.net.au,"Y07 The Yards, 9/130 King Street, BOWEN HILLS",07 3180 4768,Nundah,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
MyHealth ,Fortitude Valley,MyHealthNorthLakes,.randomise,northlakes@myhealth.net.au,"Shop 31, Valley Metro, 230 Brunswick Street, FORTITUDE VALLEY",07 3852 2030,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
MyHealth ,North Lakes ,MyhealthValley,.randomise,fortitudevalley@myhealth.net.au,"Shop 1012-1014 Westfield Shopping Centre, North Lakes Drive, NORTH LAKES",07 3482 4666,City,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
MyHealth ,Toowong,MyHealthToowong,.randomise,toowong@myhealth.net.au,"Level 1, Toowong Village, 9 Sherwood Road, TOOWONG",07 3217 8033,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Narangba,Doctors,NarangbaDocs,.randomise,info@narangbadoctors.com.au sajith@talk21.com,"20 Young Road, NARANGBA",07 3886 8812,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Narangba,Family Medical Practice,NarangbaFMP,.randomise,uw@narangba-medical.com.au,"30 Main Street, NARANGBA",07 3886 6888,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Narangba,Valley Medical Centre,NarangbaVMC,.randomise,info@narangbavalleymedical.com.au,"Shop 1B, 212 Young Road, NARANGBA",07 3385 7666,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Newmarket 7 Day ,Medical Centre,Newmarket7DayMC,.randomise,admin@newmarketmc.com.au ,"76 Enoggera Road, NEWMARKET",07 3356 3300,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Northrise,Medical Centre,NorthRiseMC,.randomise,northrisemedicalcentre@hotmail.com,"Shop 8, 1-7 Mariner Boulevard, DECEPTION BAY",07 3293 4001,North Lakes/North West,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Nundah Doctors Surgery ,Wavell Heights,NundahDoctorsSurgeryWavellHeights,.randomise,manager@margzac.org.au,"190 Bilsen Road, WAVELL HEIGHTS",07 3177 1040,Chermside,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Paddington,Medical Centre,PaddingtonMC,.randomise,admin@padmed.net,"Level 4, 107 Latrobe Terrace, PADDINGTON",07 3369 3922,Toowong,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
Pebble Beach ,Medical Centre,PebbleBeachMC,.randomise,manager@pbmc.net.au,"The Village Shopping Centre, Shop 6, 204 Bestmann Road East, SANDSTONE POINT",07 5497 7400,Caboolture,"OU=ScriptCreated,OU=Managed Users,OU=iEmirates Steel,DC=ieisf,DC=co,DC=ae"
